UF;UFCodigo
PARÁ;5
AMAPÁ;6
EQUADOR;68
AMAZONAS;3
RORAIMA;4
COLÔMBIA;67
PERU;66
MARANHÃO;7
CEARÁ;9
PIAUÍ;8
PERNAMBUCO;12
BOLÍVIA;65
SURINAME;71
GUIANA;70
RIO GRANDE DO NORTE;10
TOCANTINS;29
PARAÍBA;11
ACRE;2
ALAGOAS;13
BAHIA;16
MATO GROSSO;25
RONDÔNIA;1
SERGIPE;15
GOIÁS;26
MINAS GERAIS;17
DISTRITO FEDERAL;27
MATO GROSSO DO SUL;28
ESPÍRITO SANTO;18
CHILE;64
SÃO PAULO;21
PARAGUAI;63
RIO DE JANEIRO;19
SANTA CATARINA;23
PARANÁ;22
ARGENTINA;62
RIO GRANDE DO SUL;24
URUGUAI;61
VENEZUELA;69
GUIANA FRANCESA;72
